,sopr
2020-09-13,1.001248618530218
2020-09-14,1.0032409992366083
2020-09-15,1.006526555720208
2020-09-16,1.008138287798821
2020-09-17,1.0066023747843371
2020-09-18,1.0041980477385968
2020-09-19,1.0062417314623773
2020-09-20,1.0030438228437166
2020-09-21,0.9998615655073182
2020-09-22,1.0102188138288755
2020-09-23,1.002386304192062
2020-09-24,1.0063381518625274
2020-09-25,1.008828860653955
2020-09-26,1.006672479729809
2020-09-27,1.0024359415207706
2020-09-28,1.0032352077439497
2020-09-29,1.0137420651862603
2020-09-30,1.0029188967218252
2020-10-01,1.0025629654282435
2020-10-02,1.0090180211009632
2020-10-03,1.0012500586766258
2020-10-04,1.0017660824488912
2020-10-05,1.0049079811506691
2020-10-06,1.0024210783661083
2020-10-07,1.0304149902931772
2020-10-08,1.0081941826830496
2020-10-09,1.0059802018812518
2020-10-10,1.009638613126975
2020-10-11,1.0027380865604558
2020-10-12,1.0190401754580478
2020-10-13,1.0080758328696455
2020-10-14,1.0089522774981194
2020-10-15,1.0060220110693778
2020-10-16,1.0046837531464337
2020-10-17,1.0030608112212938
2020-10-18,1.0026705845860058
2020-10-19,1.0152515440375183
2020-10-20,1.007821889234267
2020-10-21,1.011955918051797
2020-10-22,1.0188166627638957
2020-10-23,1.0289271251471377
2020-10-24,1.0153444537252092
2020-10-25,1.0127230249859396
2020-10-26,1.0103266852221224
2020-10-27,1.0204240134728255
2020-10-28,1.0344627060247682
2020-10-29,1.0130516328351302
2020-10-30,1.0086901138905677
2020-10-31,1.0203797626773996
2020-11-01,1.041402092001444
2020-11-02,1.0196011848561566
2020-11-03,2.2728581616958716
2020-11-04,1.0461510894318633
2020-11-05,1.0323845594182006
2020-11-06,1.049474530278066
2020-11-07,1.0170075424602063
2020-11-08,1.0361810288300937
2020-11-09,1.0529393101519264
2020-11-10,1.0425049419006414
2020-11-11,1.0182107427538232
2020-11-12,1.100239059833547
2020-11-13,1.0313404244929727
